Question,Option A,Option B,Option C,Option D,Correct Option (A/B/C/D),Section
Which is an example of secondary storage device?,RAM,Pen drive,ROM,Cache Memory,B,JOA IT
Which of the following memory types has highest speed and minimum latency?,CPU register,Primary Memory,Secondary Memory,Cache Memory,A,JOA IT
Cache memory works on the principle of,Read operations,Locality of reference,Write operations,All of the above,B,JOA IT
The two cache memory write policies are write back and,Write through,Write once,Write in,Write out,A,JOA IT
"The programs stored in ROM, P-ROM and EPROM are called",Compiler,Interpreter,Operating system,Firmware,D,JOA IT
The ______ key is QWERTY keyboard have small bumps on them to help position the fingers without looking at the keyboard.,F and J,G and H,F and K,J and L,A,JOA IT
Combine multiple physical disk drives to achieve speed and redundancy. What is the full form of RAID here?,Redundant Array of Independent Disk,Random Access of Independent Disk,Redundant Array of Inexpensive Disk,Random Access of Inexpensive Disk,A,JOA IT
Which of the following optical media storage has the highest capacity?,CD,DVD,Blue Ray Disk,CD-RW,C,JOA IT
Which component of a laser printer melts the toner particles to form permanent impression on the page?,Drum,Roller,Fuser,Cleaner,C,JOA IT
Which of the following storage media uses Flash memory?,Solid State Disk,Hard Disk,Floppy Disk,Magnetic Tape,A,JOA IT
Arithmetic Logic Unit is a fundamental part of ______ a computer.,CPU,Memory,Input devices,Output devices,A,JOA IT
The ______ in a computer provides the option to change the priority of booting or booting option in the computer system.,BIOS setting,POST,Hard drive,Operating system,A,JOA IT
Which is wireless technology that uses multiple transmitters and receivers to transfer more data at the same time?,WAP,MIMO,WEP,SSID,B,JOA IT
Which of the following layer in ISO OSI Reference Network Model lies between Physical and Network layer?,Data Link,Transport,Session,Presentation,A,JOA IT
Which layer in ISO OSI Reference Network Model is responsible for routing of packets over the network?,Transport,Session,Network,Physical,C,JOA IT
A web based information repository that is collaboratively edited by the member of concerned community is called a,Wiki,Blog,Forum,Social Network,A,JOA IT
The frequency band of the spectrum reserved for unlicensed usage is called ______ band.,ISM,GSM,CDMA,LTE,A,JOA IT
