Question,Option A,Option B,Option C,Option D,Correct Option (A/B/C/D),Section
Who was the founder of the Kullu State who came from Haridwar?,Visudh Pal,Vihangmani Pal,Rudra Pal,Sidh Singh,B,History
What name did the Chinese traveler Hiuen Tsang use for Kullu in 630 AD?,Noongati,Kiu-lotu,Kulanthpitha,Trigarta,B,Ancient History
Which Kullu ruler shifted the capital from Jagatsukh to Naggar?,Vihangmani Pal,Visudh Pal,Bahadur Singh,Jagat Singh,B,History
The Nirmand Copper Plate belongs to which century?,5th CE,6th CE,7th CE,8th CE,C,Ancient History
"Who was the last ruler of the Pal dynasty to use the surname ""Pal""?",Urdan Pal,Nand Pal,Kailash Pal,Hast Pal,C,History
Who built the Hadimba Devi Temple in 1553 AD?,Sidh Singh,Bahadur Singh,Jagat Singh,Man Singh,B,Culture/History
Which Kullu ruler brought the idol of Raghunath Ji from Ayodhya in 1653 AD?,Man Singh,Bahadur Singh,Jagat Singh,Tedhi Singh,C,History
The Bhunda Festival at Nirmand is celebrated after an interval of how many years?,2 years,6 years,10 years,12 years,D,Culture
Which river was fixed as the boundary between Kullu and Ladakh during Man Singh's reign?,Sutlej,Lingti,Spiti,Chandra,B,History
What is the architectural style of the Adi Brahma Temple in Khogan?,Shikhara,Pagoda,Pent Roof,Dome,B,Culture
Who led the revolutionary activities in the Kullu area during the 1857 uprising?,Ram Singh,Yuvraj Pratap Singh,Wazir Kalu,Jit Singh,B,Modern History
Who introduced apple farming to the Kullu region?,Samuel Stokes,RC Lee,J. Calbert,Lord Elgin,B,Economy
In which year did the Kullu Shawl receive the Geographical Indication (GI) tag?,1999,2004,2008,2012,B,Economy
Which Kullu ruler captured the salt mines of Gumma and Darang from Mandi?,Bahadur Singh,Jagat Singh,Man Singh,Rajendra Sen,C,History
Who was the first Viceroy to visit Kullu in 1863?,Lord Mayo,Lord Lytton,Lord Elgin I,Lord Curzon,C,Modern History
"The ""Vishveshwara Temple"" at Bajaura belongs to which architectural style?",Pagoda,Shikhara,Flat Roof,Pyramidal,B,Culture
"Which village of Kullu is known as the ""oldest democracy in the world""?",Naggar,Jagatsukh,Malana,Nirmand,C,Polity/Culture
Who built the Sandhyadevi Temple in 1418 AD?,Urdan Pal,Uchit Pal,Surat Pal,Rudra Pal,A,Culture/History
Which Kullu ruler was defeated by the Sikh commander Sher Singh in 1840?,Bikram Singh,Tedhi Singh,Jit Singh,Jai Singh,C,History
What is the local name for the language spoken in Malana village?,Kulluvi,Siraji,Kanashi,Mandeali,C,Culture
"Who was the founder of Balson Riyasat, which corresponds to modern-day Theog?",Jayas,Alak Singh,Jog Raj Singh,Krishan Chand,B,History
"Which ruler of Balson was awarded the title of ""Rana"" and a Khilat for helping the British in 1857?",Alak Singh,Krishan Chand,Jog Raj Singh,Keher Singh,C,History
Who is recorded as the founder of Theog in the provided text?,Alak Singh,Jayas,Cheru,Giri Sen,B,History
Which was the first Thakurai to be merged into Himachal Pradesh?,Theog,Balson,Koti,Bhaji,A,History
Who was the founder of Bhaji Riyasat?,Sohan Pal,Cheru,Hari Chand,Durga Singh,B,History
"Which ruler founded Sunni, known for its sulphur deposits?",Sohan Pal,Uday Pal,Hari Chand,Kishan Singh,A,History
