Question,Option A,Option B,Option C,Option D,Correct Option (A/B/C/D),Section
The term Gigabyte refers to _______.,1024 Kilobytes,1024 Megabytes,1024 Terabytes,1024 Bytes,B,JOA IT
The full form of BCD is _______.,Binary Coded Decimal,Binary Coded Digit,Binary Coded Data,Binary Coded Division,A,JOA IT
Instructions and memory addresses in RAM of a computer are stored using _______.,Binary Digits,Decimal Digits,Hexadecimal Digits,Octal Digits,A,JOA IT
A computer on internet is uniquely identified by its _______.,Domain Name,IP Address,MAC Address,Host Name,B,JOA IT
"On the internet, moving from one website to another is known as _______.",Downloading,Uploading,Browsing,Surfing,C,JOA IT
"In Internet terminology, IP means _______.",Internet Protocol,Internet Provider,Internet Point,Internet Process,A,JOA IT
The output printed by a computer through a printer on the paper is called _______.,Soft Copy,Hard Copy,Digital Copy,Physical Copy,B,JOA IT
"Arrange in ascending order the unit of memory: TB, KB, GB, MB.","KB, MB, GB, TB","TB, GB, MB, KB","MB, KB, GB, TB","KB, GB, MB, TB",A,JOA IT
Which of the following component of CPU (Central Processing Unit) are correct?,"ALU, CU, Registers","ALU, CU, Primary/Main Memory","ALU, CU, Secondary Memory",All of the above,B,JOA IT
What is the full form of URL?,Uniform Resource Link,Uniform Resource Locator,Universal Resource Link,Universal Resource Locator,B,JOA IT
"In which of the following, documents, movies, images, photographs, etc. are stored?",File Cabinet,File System,File Server,File Manager,C,JOA IT
What is the full form of GUI in reference to computer?,Graphical User Interface,Graphical Universal Interface,General User Interface,General Universal Interface,A,JOA IT
Which are operations that are performed on RAM?,Read,Write,Read and Write Both,Execute,C,JOA IT
Which of the following is the outcome of data processing?,Data,Information,Instructions,Programs,B,JOA IT
DNS in Internet terminology stands for _______.,Domain Name System,Data Name System,Dynamic Name System,Digital Name System,A,JOA IT
Which of the following operation is not performed by a computer?,Control,Outputting,Inputting,Understanding,D,JOA IT
The folders in an operating system are based on _______ structure.,Linear,Circular,Inverted Tree,Hierarchical,C,JOA IT
Which of the following alignment will apply by default when some text is entered in a cell in a worksheet of MS Excel?,Left,Right,Center,Justify,A,JOA IT
Which of the following types of references can be used for writing formulas in a cell in a worksheet in MS Excel?,Relative,Absolute,Mixed,All of these,D,JOA IT
What is Hyperlink?,It is used to link webpages.,It is a special type of text.,It is a graphic that links to another document.,All of the above,A,JOA IT
Which of the following is not a component in multimedia?,Audio,Video,Data,Pen Drive,D,JOA IT
IPR stands for _______.,Intellectual Property Right,International Property Right,Indian Property Right,Intellectual Property Regulation,A,JOA IT
Which of the following is not true for Microsoft PowerPoint Presentation?,It can contain audio and video clips.,It can contain images and graphics.,The transition speed of the slides can be adjusted before running the slide.,The transition speed of the slides cannot be adjusted before running the slide.,D,JOA IT
SQL full form is _______.,Standard Query Language,Structured Query List,Simple Query Language,Structured Query Language,D,JOA IT
An attribute in a table is a foreign key if _______ the key from another table is used as an attribute in that table.,Primary,Secondary,Candidate,Super,A,JOA IT
Which of the following attribute can be used as a primary key?,Name,Address,Phone Number,Aadhaar Card Number,D,JOA IT
Under what condition the subset of Super Key is a Candidate Key?,If it is a Super Key itself.,If it has at least one attribute.,No proper subset is a Super Key.,All of the above,C,JOA IT
"CREATE TABLE Employee (name varchar, id integer); What type of statement is this?",DML,DCL,TCL,DDL,D,JOA IT
Which of the following devices can be used to connect a computer to internet through a telephone line?,Modem,Router,Hub,Switch,A,JOA IT
Which of the following does not work on the principle of magnetization?,Floppy Disk,Hard Disk,Magnetic Tape,Pen Drive,D,JOA IT
Which of the following statement is false?,Monitor is an output device.,Keyboard can be used as an output device.,Printer is an output device.,Mouse is an input device.,B,JOA IT
Which of the following is not a key on keyboard of a normal PC?,Alt,Tab,Ctrl,Sys,D,JOA IT
Internet is an example of _______.,LAN,MAN,WAN,PAN,C,JOA IT
Which data structure is used to implement recursion?,Queue,Stack,Linked List,Tree,B,JOA IT
"In MS Excel, which function is used to count only numeric values?",COUNT,COUNTA,COUNTIF,SUM,A,JOA IT
Binary number system is based on which radix?,2,8,10,16,A,JOA IT
Which of the following is not an operating system?,Windows,Linux,Oracle,macOS X,C,JOA IT
What is the full form of URL?,Uniform Resource Locator,Universal Resource Link,Unified Resource Locator,Unique Resource Link,A,JOA IT
Which memory is volatile in nature?,ROM,Hard Disk,RAM,Pen Drive,C,JOA IT
"In computer networks, TCP stands for:",Transmission Control Protocol,Transfer Control Protocol,Technical Control Protocol,Terminal Control Protocol,A,JOA IT
Which key is used to refresh a web page?,F2,F5,F7,F12,B,JOA IT
Which software is used for presentation?,MS Word,MS Excel,MS PowerPoint,MS Access,C,JOA IT
Which number system is used for computers internally?,Decimal,Binary,Octal,Hexadecimal,B,JOA IT
What does ALU stand for?,Arithmetic Logic Unit,Advanced Logic Unit,Application Logic Unit,Auxiliary Logic Unit,A,JOA IT
Which of the following is an input device?,Monitor,Printer,Keyboard,Plotter,C,JOA IT
Which protocol is used for sending emails?,FTP,SMTP,HTTP,POP3,B,JOA IT
The brain of the computer is:,Monitor,Keyboard,CPU,Mouse,C,JOA IT
Which extension is used for MS Word file?,.ppt,.xls,.doc or .docx,.pdf,C,JOA IT
Which one is an example of system software?,MS Word,Photoshop,Windows,Tally,C,JOA IT
What is the decimal representation of 1010101 (Two's Compliment number)?,21,-121,-21,-128,C,JOA IT
Which of the following is not a valid Octal number?,125,1001,678,134,C,JOA IT
How many bits are used for the fractional part in an IEEE 754 floating-point single precision representation?,8,16,23,32,C,JOA IT
How many bytes are there in one MiB?,1024,"1,048,576","1,073,741,824","1,099,511,627,776",B,JOA IT
