Question,Option A,Option B,Option C,Option D,Correct Option (A/B/C/D),Section
Who founded the state of Suket in 765 AD?,Bahu Sen,Bir Sen,Ajbar Sen,Garud Sen,B,History
What was the ancient name of Suket in early times?,Zahor,Sahliyana,Sukshetra,Baned,C,History
Which ruler of Suket transferred the capital from Pangana to Lohara?,Kartar Sen,Madan Sen,Garud Sen,Shyam Sen,B,History
"The ""Battle of Jheori"" was the result of a conspiracy between Tri Bikram Sen and the King of which region?",Kangra,Bilaspur,Kullu,Bushahr,C,History
Which ruler of Suket was imprisoned by the Raja of Nurpur and later built the Mahunag Temple?,Shyam Sen,Ram Sen,Madan Sen,Ugar Sen,A,History
Who founded the town of Baned (Sundernagar)?,Garud Sen,Kartar Sen,Arjun Sen,Bikram Sen,A,History
Which European traveler visited Suket in 1820 during the reign of Bikram Sen?,Godfrey Vigne,William Moorcroft,Lord Mayo,General Ventura,B,History
"In which year did the British issue a Sanad to Ugar Sen of Suket, reaffirming his claim over the territory?",1840,1846,1857,1839,B,History
Which Suket ruler was conferred the title of KCSI for contributing to British war efforts in World War I?,Dusht Nikandan Sen,Bhim Sen,Laxman Sen,Ugar Sen,B,History
Who led the Suket Satyagraha launched in February 1948?,Shobha Ram,Pandit Padam Dev,Dr. Y.S. Parmar,Baba Kanshi Ram,B,Polity
On which date did the ruler Laxman Sen agree to the merger of Suket with Himachal Pradesh?,15 August 1947,25 January 1971,15 April 1948,1 November 1966,C,Polity
What name was given to Mandi by the Tibetans?,Zahor,Kiragrama,Sukshetra,Trigarta,A,History
Who founded the town of Mandi in 1527 AD?,Bahu Sen,Ban Sen,Ajbar Sen,Suraj Sen,C,History
Mandi and Suket were separated in approximately which year?,1000 AD,1200 AD,1330 AD,1527 AD,B,History
Where did Bahu Sen establish his capital before the founding of Mandi town?,Bhiyuli,Bathauli,Shivkot,Lohara,C,History
Which ruler of Mandi constructed the Prashar Rishi Temple in 1346 AD?,Ban Sen,Kalyan Sen,Dilawar Sen,Ajbar Sen,A,Culture
Who built the Bhootnath Temple in Mandi?,Sidh Sen,Suraj Sen,Ajbar Sen,Ishwari Sen,C,Culture
Which Mandi ruler commissioned the silver image of Madhu Rai after losing all his 18 sons?,Suraj Sen,Sidh Sen,Shyam Sen,Ishwari Sen,A,History
Who was the Wazir of Sidh Sen that introduced the 'zamin bandobasti' (land settlement)?,Narpat Wazir,Mian Jiphu,Wazir Narotam,General Ventura,B,Admin
Which ruler of Mandi kept the severed head of Prithvi Pal of Banghal at Damdama Palace?,Suraj Sen,Sidh Sen,Shamsher Sen,Balbir Sen,B,History
Raja Ishwari Sen of Mandi was kept prisoner for 12 years at which fort by Sansar Chand?,Kangra Fort,Kamlagarh Fort,Nadaun (Chandramukhi) Fort,Sujanpur Fort,C,History
Which Sikh General led the expedition against Kamlagarh and captured Balbir Sen in 1840?,Hari Singh Nalwa,General Ventura,Ranjit Singh,Sher Singh,B,History
Which Mandi ruler constructed the Victoria Bridge in 1877?,Balbir Sen,Bijai Sen,Bhawani Sen,Joginder Sen,B,History
Who was the last Raja of Mandi who later served as an Indian Ambassador to Brazil?,Bhawani Sen,Joginder Sen,Yadavindra Singh,Bijai Sen,B,History
The 'Mandi Conspiracy' and peasant movements in 1909 were led by whom?,Pandit Padam Dev,Shivanand Ramaul,Shobha Ram,Mian Ratan Singh,C,Polity
The International Shivratri Fair of Mandi was started by which ruler?,Suraj Sen,Ajbar Sen,Sidh Sen,Bahu Sen,B,Culture
The Tsechu Fair at Rewalsar is held to honor which sage?,Prashar Rishi,Lomash Rishi,Padmasambhava,Vashisht,C,Culture
In which architectural style is the Kamaksha Devi Temple at Karsog built?,Pent Roof,Pagoda,Nagara,Shikhara,B,Culture
What is 'Budechhu' in the context of Mandi/Suket culture?,A folk dance,A folk drama,A musical instrument,A local festival,B,Culture
The Shanan Hydropower Project is located in which town?,Sundernagar,Pandoh,Joginder Nagar,Karsog,C,Geography
Which district does NOT share a border with Mandi?,Kangra,Solan,Shimla,Chamba,D,Geography
Where are the rock salt mines of Mandi located?,Gumma and Darang,Slapper and Barmana,Pandoh and Aut,Karsog and Chindi,A,Geography
