Question,Option A,Option B,Option C,Option D,Correct Option (A/B/C/D),Section
Under whose rule did Spiti gain historical prominence?,Rajendra Sen,Chet Sen,Samudra Sen,Man Singh,C,History
Who was the Ladakh ruler that captured both Lahaul and Kullu?,La-Chan Utpal,Zainul Abdin,Bahadur Shah,Bidhi Singh,A,History
In which year did Alexander Cunningham visit Lahaul?,1820,1835,1839,1846,C,History
"Which Wazir received the title of ""Rai Bahadur"" for helping the British in World War I?",Bali Ram,Amir Chand,No-No Wazir,Devi Chand,B,History
In which year did Lahaul Spiti become a Sub-Tehsil with its headquarters at Keylong?,1941,1951,1960,1966,A,Administration
"Who described Lahaul as the ""Country of Gods""?",Andrew Wilson,William Moorcroft,Rahul Sanskrityayan,Hiun Tsang,C,Culture
"What does the term ""Kummai-bhagston"" refer to?",Arranged marriage,Love marriage,Divorce,Widow remarriage,B,Social Customs
In which month is the Ladarcha Fair typically celebrated in Kaza?,February,July,August,October,B,Festivals
The Pauri Fair is celebrated at which famous religious site?,Key Monastery,Tabo Monastery,Trilokinath Temple,Mrikula Devi Temple,C,Festivals
Who built the Mrikula Devi Temple in Udaipur?,Lalitaditya,Pratap Singh Varman,Man Singh,Rinchin-Po,B,Art & Culture
What was the old name of the Trilokinath Temple?,Tunda Vihar,Sahur Gompa,Guru Ghantal,Gemur Vihar,A,Art & Culture
Which is the largest monastery in the Spiti area?,Tabo,Dhankhar,Key (Ki),Kungri,C,Religious Sites
Which monastery is located specifically in the Pin Valley?,Shashur,Gemur,Kungri,Khardang,C,Religious Sites
Who built the Sahur Gompa Monastery in the 7th Century?,Padmasambhava,Lama Norbu,Deva Gyastso,Rinchin-Po,C,Religious Sites
"What are ""Kangur"" and ""Tengyur"" in the context of Lahaul and Spiti?",Folk Dances,Local Dialects,Religious Texts,Agricultural Tools,C,Art & Culture
Which is considered the last village of the Spiti Valley?,Kibber,Losar,Kaza,Tabo,B,Geography
Which valley is renowned for fossils and shale dating back 250 million years?,Pin Valley,Lingti Valley,Chandra Valley,Bhaga Valley,B,Geography
The Chenab River originates from which mountain pass?,Rohtang Pass,Kunzum Pass,Baralacha La,Shinku La,C,Geography
What percentage of Himachal Pradesh's Scheduled Tribe (ST) population resides in Lahaul and Spiti?,53%,63%,73%,83%,C,Demography
Who helped the British during the revolt of 1857?,No-No Wazir,Amir Chand,Bali Ram,Zorawar Singh,A,History
Who wrote the book 'Antiquity of Chamba'?,J. Hutchison,J.P. Vogel,Alexander Cunningham,G.T. Vigne,B,Ancient History/Literature
During the reign of which Raja did the Gaddi community migrate from Delhi to Chamba?,Meru Verman,Sahil Verman,Ajay Verman,Mushan Verman,C,Ancient History/Demography
Who was the nurse that saved Raja Prithvi Singh by smuggling him to Mandi?,Batlo,Gilmo,Nainu,Sharda,A,Medieval History
Which Chamba ruler was a contemporary of the Mughal Emperor Akbar?,Pratap Singh Verman,Bal Bhadra,Janardan,Prithvi Singh,A,Medieval History
Who constructed the famous 'Rang Mahal' and 'Nada Mahal' in Chamba?,Chattar Singh,Umed Singh,Raj Singh,Charhat Singh,B,Architecture/Medieval History
Which Raja was killed by Sansar Chand of Kangra in a dispute over Rehlu?,Raj Singh,Jit Singh,Charhat Singh,Shri Singh,A,Modern History
The 'Saichu Nala' and 'Dibrikothi' inscriptions are related to which ruler?,Lalit Verman,Aditya Verman,Yugankar Verman,Asata Verman,A,Ancient History/Archaeology
Which British official installed Bhuri Singh as the ruler of Chamba?,Lord Curzon,Lord Mayo,Charles Riwas,Major Blair Reed,C,Modern History
Who was the first ruler of the Chamba dynasty to use the specific suffix 'Verman'?,Maru,Meru,Aditya,Sahil,C,Ancient History
What does the term 'Minjar' refer to in the context of the Minjar Fair?,Maize Flower,Lotus Flower,Flower of Wheat,Mustard Flower,C,Culture/Festivals
Who built the Radha Krishna Temple in Chamba?,Rani Sunaina Devi,Rani Sharda,Tribhuvan Rekha Devi,Rani Champavati,B,Architecture
Which Raja of Chamba attended the Delhi Darbar in 1877?,Gopal Singh,Sham Singh,Bhuri Singh,Shri Singh,B,Modern History
Bhagatan' and 'Harnata' are examples of what in Chamba culture?,Folk Songs,Folk Dances,Folk Dramas,Musical Instruments,C,Culture/Arts
In which region of Chamba is the 'Phul Yatra' celebrated?,Bhattiyat,Pangi (Killar),Bharmour,Churah,B,Culture/Festivals
Who was the Superintendent appointed to Chamba during the rule of Shri Singh?,Major Blair Reed,General Ochterlony,Captain Kennedy,Lord Amherst,A,Modern History
The Laxmi Narayan Temple complex is a group of how many temples?,4,5,6,8,C,Architecture
Which Raja received the title of 'Knighthood' for helping the British in World War I?,Sham Singh,Bhuri Singh,Laxman Singh,Gopal Singh,B,Modern History
"During the reign of Laxmi Verman, Chamba was attacked by which tribe?",Khasas,Kir (Tibetan Tribe),Gurkhas,Sikhs,B,Ancient History
Who constructed the 'Chattar Garh' fort?,Prithvi Singh,Chattar Singh,Umed Singh,Raj Singh,B,Architecture/Medieval History
Which Yogi blessed Sahil Verman with ten sons and a daughter?,Yogi Charpatnath,Yogi Gorakhnath,Yogi Balaknath,Yogi Pattinath,A,Ancient History
What is the approximate geographical area of Kinnaur district?,"5,503 km²","6,401 km²","3,098 km²","4,567 km²",B,Geography
